time,x-acceleration,y-acceleration,z-acceleration
0.000,0.627,1.999,0.034
0.020,0.709,1.999,0.085
0.040,0.793,1.999,0.128
0.060,0.746,1.999,0.077
0.080,0.626,1.999,-0.010
0.100,0.572,1.128,-0.116
0.120,0.590,-0.232,-0.168
0.140,0.720,-1.278,-0.172
0.160,0.805,-1.880,-0.152
0.180,0.849,-2.000,-0.160
0.200,0.775,-1.712,-0.167
0.220,0.662,-0.884,-0.133
0.240,0.579,0.348,-0.107
0.260,0.573,1.706,-0.020
0.280,0.678,1.999,0.062
0.300,0.729,1.999,0.147
0.320,0.800,1.999,0.101
0.340,0.664,1.999,0.061
0.360,0.589,1.851,-0.064
0.380,0.537,0.432,-0.081
0.400,0.632,-0.782,-0.145
0.420,0.762,-1.635,-0.163
0.440,0.793,-2.000,-0.149
0.460,0.779,-1.988,-0.142
0.480,0.711,-1.449,-0.140
0.500,0.629,-0.412,-0.114
0.520,0.543,0.886,-0.078
0.540,0.588,1.999,0.040
0.560,0.692,1.999,0.116
0.580,0.751,1.999,0.103
0.600,0.637,1.999,0.019
0.620,0.580,1.239,-0.076
0.640,0.574,-0.106,-0.136
0.660,0.735,-1.825,-0.175
0.680,0.814,-2.000,-0.170
0.700,0.786,-1.744,-0.150
0.720,0.723,-0.974,-0.133
0.740,0.602,1.554,-0.038
0.760,0.654,1.999,0.045
0.780,0.741,1.999,0.099
0.800,0.786,1.999,0.102
0.820,0.599,1.999,-0.050
0.840,0.569,0.645,-0.121
0.860,0.610,-0.629,-0.165
0.880,0.694,-1.512,-0.171
0.900,0.814,-1.979,-0.165
0.920,0.748,-1.534,-0.150
0.940,0.643,-0.534,-0.123
0.960,0.542,0.726,-0.077
0.980,0.684,1.999,0.110
1.000,0.737,1.999,0.137
1.020,0.726,1.999,0.088
1.040,0.626,1.999,0.012
1.060,0.557,-0.005,-0.125
1.080,0.658,-1.109,-0.151
1.100,0.748,-1.835,-0.172
1.120,0.793,-2.000,-0.151
1.140,0.695,-1.132,-0.133
1.160,0.575,0.045,-0.116
1.180,0.558,1.381,-0.033
1.200,0.648,1.999,0.061
1.220,0.801,1.999,0.143
1.240,0.687,1.999,0.060
1.260,0.613,1.999,-0.038
1.280,0.575,0.790,-0.085
1.300,0.730,-1.386,-0.141
1.320,0.791,-1.957,-0.172
1.340,0.814,-1.992,-0.160
1.360,0.736,-1.541,-0.172
1.380,0.586,0.605,-0.094
1.400,0.600,1.999,0.004
1.420,0.666,1.999,0.070
1.440,0.749,1.999,0.132
1.460,0.763,1.999,0.072
1.480,0.624,1.999,0.028
1.500,0.572,1.557,-0.071
1.520,0.576,0.145,-0.135
1.540,0.643,-0.994,-0.159
1.560,0.732,-1.783,-0.161
1.580,0.795,-2.000,-0.157
1.600,0.795,-1.919,-0.163
1.620,0.689,-1.272,-0.149
1.640,0.586,-0.127,-0.136
1.660,0.556,1.167,-0.046
1.680,0.624,1.999,0.047
1.700,0.717,1.999,0.105
1.720,0.789,1.999,0.143
1.740,0.684,1.999,0.072
1.760,0.617,1.999,0.003
1.780,0.553,0.946,-0.105
1.800,0.571,-0.319,-0.147
1.820,0.654,-1.354,-0.175
1.840,0.787,-1.950,-0.170
1.860,0.825,-1.996,-0.158
1.880,0.748,-1.626,-0.162
1.900,0.687,-0.771,-0.125
1.920,0.592,0.490,-0.091
1.940,0.598,1.899,-0.009
1.960,0.691,1.999,0.064
1.980,0.750,1.999,0.141
2.000,0.804,1.999,0.099
2.020,0.676,1.999,0.043
2.040,0.618,1.760,-0.069
2.060,0.647,-0.856,-0.150
2.080,0.747,-1.680,-0.158
2.100,0.827,-2.000,-0.155
2.120,0.810,-1.907,-0.157
2.140,0.624,-0.258,-0.117
2.160,0.564,1.048,-0.057
2.180,0.611,1.999,0.043
2.200,0.685,1.999,0.097
2.220,0.693,1.999,0.076
2.240,0.585,1.999,0.000
2.260,0.563,1.054,-0.091
2.280,0.533,-0.278,-0.153
2.300,0.728,-1.914,-0.184
2.320,0.789,-2.000,-0.149
2.340,0.776,-1.751,-0.171
2.360,0.648,-0.885,-0.141
2.380,0.594,1.681,-0.024
2.400,0.670,1.999,0.057
2.420,0.720,1.999,0.128
2.440,0.767,1.999,0.089
2.460,0.587,1.908,-0.070
2.480,0.548,0.526,-0.109
2.500,0.625,-0.715,-0.151
2.520,0.752,-1.605,-0.167
2.540,0.839,-1.919,-0.133
2.560,0.725,-1.377,-0.168
2.580,0.652,-0.371,-0.125
2.600,0.566,0.922,-0.077
2.620,0.741,1.999,0.102
2.640,0.835,1.999,0.137
2.660,0.758,1.999,0.100
2.680,0.647,1.999,0.013
2.700,0.551,-0.117,-0.145
2.720,0.642,-1.189,-0.171
2.740,0.736,-1.867,-0.164
2.760,0.822,-2.000,-0.168
2.780,0.631,-1.032,-0.139
2.800,0.560,0.125,-0.104
2.820,0.555,1.522,-0.013
2.840,0.666,1.999,0.068
2.860,0.750,1.999,0.112
2.880,0.656,1.999,0.064
2.900,0.596,1.999,-0.061
2.920,0.558,0.573,-0.088
2.940,0.740,-1.537,-0.158
2.960,0.793,-2.000,-0.171
2.980,0.827,-1.984,-0.154
3.000,0.703,-1.501,-0.171
3.020,0.566,0.783,-0.088
3.040,0.627,1.999,-0.005
3.060,0.673,1.999,0.078
3.080,0.832,1.999,0.127
3.100,0.688,1.999,0.021
3.120,0.609,1.403,-0.094
3.140,0.575,0.041,-0.136
3.160,0.683,-1.068,-0.183
3.180,0.826,-2.000,-0.168
3.200,0.805,-1.822,-0.169
3.220,0.688,-1.135,-0.149
3.240,0.609,0.041,-0.117
3.260,0.762,1.999,0.116
3.280,0.769,1.999,0.133
3.300,0.685,1.999,0.073
3.320,0.615,1.999,-0.024
3.340,0.598,-0.508,-0.150
3.360,0.666,-1.488,-0.129
3.380,0.804,-2.000,-0.142
3.400,0.794,-2.000,-0.154
3.420,0.631,-0.656,-0.114
3.440,0.541,0.603,-0.092
3.460,0.600,1.999,0.004
3.480,0.645,1.999,0.080
3.500,0.739,1.999,0.097
3.520,0.652,1.999,0.032
3.540,0.582,1.571,-0.094
3.560,0.583,0.155,-0.125
3.580,0.755,-1.745,-0.150
3.600,0.832,-2.000,-0.182
3.620,0.781,-1.865,-0.169
3.640,0.699,-1.218,-0.142
3.660,0.592,1.999,-0.028
3.680,0.562,0.940,-0.112
3.700,0.593,-0.385,-0.161
3.720,0.708,-1.383,-0.190
3.740,0.821,-2.000,-0.167
3.760,0.751,-1.669,-0.163
3.780,0.668,-0.767,-0.109
3.800,0.571,0.483,-0.085
3.820,0.679,1.999,0.090
3.840,0.717,1.999,0.139
3.860,0.741,1.999,0.097
3.880,0.659,1.999,0.056
3.900,0.511,0.310,-0.101
3.920,0.581,-0.842,-0.165
3.940,0.741,-1.685,-0.167
3.960,0.795,-2.000,-0.127
3.980,0.721,-1.319,-0.142
4.000,0.619,-0.259,-0.106
4.020,0.555,1.076,-0.042
4.040,0.620,1.999,0.044
4.060,0.808,1.999,0.150
4.080,0.740,1.999,0.069
4.100,0.612,1.999,0.006
4.120,0.563,1.088,-0.110
4.140,0.708,-1.290,-0.143
4.160,0.814,-1.899,-0.153
4.180,0.856,-2.000,-0.165
4.200,0.776,-1.712,-0.178
4.220,0.591,0.333,-0.119
4.240,0.611,1.708,-0.035
4.260,0.665,1.999,0.040
4.280,0.708,1.999,0.125
4.300,0.687,1.999,0.049
4.320,0.590,1.907,-0.075
4.340,0.551,0.438,-0.112
